"","V1","V2"
"578",8,0.4239645048
"579",65,0.4817076466
"580",27,0.420088129
"581",57,0.1929207311
"582",8,0.6723528445
"583",72,0.2179196615
"584",54,0.5047324761
"585",55,0.3547952443
"586",43,0.3190208008
"587",54,0.3162070345
"588",13,0.3723557571
"589",30,0.3854678722
"590",65,0.2856269663
"591",57,0.1929207311
"592",68,0.3727288297
"593",57,0.1929207311
"594",43,0.4045296887
"595",51,0.2980735178
"596",69,0.3033873626
"597",33,0.3223668002
"598",19,0.4002628252
"599",8,0.5620446809
"600",62,0.3376572306
"601",68,0.2901104207
"602",34,0.315106303
"603",8,0.3111576947
"604",57,0.1929207311
"605",68,0.3545674557
"606",66,0.1794643297
"607",68,0.4182313141
"608",98,0.2742657912
"609",73,0.3945529367
"610",68,0.3281701882
"611",77,0.2063024348
"612",35,0.2959274082
"613",98,0.2631964965
"614",57,0.1929207311
"615",65,0.4269463409
"616",20,0.3108195153
"617",20,0.3178845071
"618",57,0.1929207311
"619",8,0.2033033415
"620",57,0.1929207311
"621",16,0.2938292618
"622",65,0.2465079841
"623",57,0.1929207311
"624",69,0.2641715473
"625",21,0.2674684797
"626",2,0.4535290429
"627",8,0.252568151
"628",57,0.5661938812
"629",67,0.3206368109
"630",98,0.4725705147
"631",4,0.3110449191
"632",72,0.3038181475
"633",68,0.3409949289
"634",68,0.2699065543
"635",73,0.2781596701
"636",4,0.4227078221
"637",68,0.4461378053
"638",68,0.2361624795
"639",21,0.2981888573
"640",66,0.2587687515
"641",68,0.2194379446
"642",16,0.262799374
"643",68,0.2779092031
"644",66,0.3876504007
"645",26,0.292725231
"646",76,0.3477936072
"647",68,0.3794046491
"648",98,0.4162358525
"649",67,0.2549646801
"650",24,0.2858087551
"651",33,0.3157272882
"652",18,0.3302947997
"653",4,0.193450168
"654",65,0.3527474931
"655",45,0.2458911339
"656",68,0.4115228485
"657",68,0.3888946929
"658",20,0.2226031313
"659",68,0.281108826
"660",55,0.1959401551
"661",20,0.4235548023
"662",45,0.3845098147
"663",89,0.2038946426
"664",68,0.3138072762
"665",72,0.2804358898
"666",61,0.3214989269
"667",61,0.3049452675
"668",8,0.4872999924
"669",68,0.4051672548
"670",8,0.4582320334
"671",61,0.4247663118
"672",67,0.2681085964
"673",62,0.3639311005
"674",72,0.1515542407
"675",40,0.2361969141
"676",68,0.3638921605
"677",72,0.2688844653
"678",68,0.2721855292
"679",61,0.3850609809
"680",65,0.380766589
"681",68,0.3388911975
"682",16,0.4508496456
"683",68,0.5730057305
"684",62,0.5061113595
"685",62,0.2477867742
"686",62,0.4729245368
"687",68,0.4832694939
"688",21,0.303195862
"689",37,0.3617741404
"690",8,0.2693595387
"691",68,0.3178725933
"692",57,0.1929207311
"693",68,0.5105553098
"694",67,0.2681085964
"695",8,0.7640452082
"696",68,0.3435808058
"697",72,0.3778254149
"698",61,0.1831454085
"699",57,0.1929207311
"700",61,0.3928721928
"701",4,0.3110449191
"702",8,0.4177187972
"703",2,0.3161707905
"704",73,0.3210096226
"705",68,0.2292882958
"706",50,0.2889223315
"707",68,0.3801016653
"708",68,0.1822095509
"709",8,0.4333604307
"710",19,0.4769824115
"711",75,0.3583333997
"712",69,0.3426223865
"713",24,0.2627651131
"714",21,0.2780499049
"715",68,0.4383606832
"716",8,0.2717169974
"717",45,0.2820632521
"718",19,0.3103644912
"719",61,0.456982725
"720",21,0.2759932469
"721",65,0.597494209
"722",66,0.2941435727
"723",16,0.2139424417
"724",27,0.2452118619
"725",57,0.1929207311
"726",5,0.2661010971
"727",72,0.3501605608
"728",72,0.3773298821
"729",68,0.2188898554
"730",86,0.4712162751
"731",41,0.1940128841
"732",23,0.2102714697
"733",76,0.178540109
"734",86,0.2656849462
"735",5,0.2711931381
"736",71,0.370681685
"737",86,0.218930352
"738",64,0.1809439367
"739",86,0.3899659076
"740",71,0.1892547051
"741",48,0.2811239463
"742",48,0.2769994907
"743",27,0.3224010397
"744",87,0.2339427139
"745",23,0.2841191102
"746",51,0.2487147007
"747",86,0.298976844
"748",55,0.1327483588
"749",23,0.242454284
"750",48,0.3238001341
"751",66,0.2102850561
"752",89,0.3839340635
"753",27,0.3492271108
"754",75,0.3482363094
"755",86,0.2718517326
"756",48,0.2168593075
"757",57,0.1929207311
"758",48,0.2783705023
"759",76,0.1910504646
"760",36,0.4226198162
"761",6,0.1486588927
"762",89,0.2038946426
"763",5,0.1934026934
"764",57,0.1929207311
"765",68,0.2110959229
"766",86,0.2088127609
"767",71,0.370681685
"768",9,0.1662086074
"769",48,0.3238001341
"770",86,0.1995649864
"771",23,0.2134229448
"772",18,0.2280608897
"773",86,0.2068171183
"774",48,0.2244882896
"775",86,0.2648963055
"776",66,0.3702507412
"777",71,0.3113936324
"778",6,0.3442528262
"779",30,0.1336545533
"780",57,0.1929207311
"781",86,0.2550265041
"782",72,0.2196142171
"783",64,0.2064410461
"784",27,0.3168227421
"785",9,0.3246839736
"786",71,0.2438768642
"787",72,0.4375052881
"788",56,0.2459960024
"789",57,0.1929207311
"790",71,0.2168679691
"791",48,0.3956943201
"792",36,0.2836690661
"793",51,0.2095268502
"794",57,0.1929207311
"795",86,0.2648963055
"796",57,0.1929207311
"797",5,0.1751113574
"798",86,0.2243659462
"799",89,0.2499205167
"800",86,0.2418141764
"801",71,0.2901678088
"802",48,0.3065840294
"803",100,0.1910310024
"804",48,0.4284004108
"805",5,0.2295507136
"806",68,0.2188898554
"807",51,0.1848247706
"808",41,0.2386663557
"809",27,0.3219426904
"810",89,0.2038946426
"811",48,0.3682108511
"812",57,0.1929207311
"813",51,0.266977966
"814",27,0.5038373092
"815",48,0.195118894
"816",55,0.3712393638
"817",68,0.2188898554
"818",5,0.5359879671
"819",48,0.3838673305
"820",91,0.7538108906
"821",71,0.3111194157
"822",57,0.1929207311
"823",43,0.2411531446
"824",27,0.2694656385
"825",51,0.3363589107
"826",75,0.3444360803
"827",71,0.2419254628
"828",27,0.1983520611
"829",24,0.3399585183
"830",51,0.2330001703
"831",26,0.2101352265
"832",62,0.1730358527
"833",89,0.1325232023
"834",89,0.1838814104
"835",50,0.1944693766
"836",98,0.2081420073
